# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 
#  beta            <K>                StdErr.
0.6000000000000000 -9.2166779558332390 0.0003526592062091
0.7000000000000000 -8.4964915625623423 0.0003162842678530
0.8000000000000000 -7.9426060624999986 0.0005221339212568
0.9000000000000000 -7.5251671074997226 0.0003404585066772
1.0000000000000000 -7.2157105142030602 0.0002755021643085
1.1499999999999999 -6.8961702864848320 0.0003300833817797
1.3000000000000000 -6.6919741115384150 0.0002597947178119
1.5000000000000000 -6.5294823278333283 0.0002497962052362
1.7500000000000000 -6.4216062458298184 0.0002611173744334
2.0000000000000000 -6.3676300851249996 0.0002636625423021
2.5000000000000000 -6.3263226144687978 0.0002656760630429
3.0000000000000000 -6.3153247350833590 0.0002566980011657
3.5000000000000000 -6.3121942679999705 0.0002597522409024
4.0000000000000000 -6.3113691310000002 0.0002561950160032
