# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
#  beta            <S2>               StdErr.
0.6000000000000000 1.2829041098683862 0.0001184537021648
0.7000000000000000 1.2442197500963612 0.0001170531664645
0.8000000000000000 1.2138399545199756 0.0001076795870434
0.9000000000000000 1.1884920065827462 0.0001013300164556
1.0000000000000000 1.1671172748964935 0.0001141291914130
1.1499999999999999 1.1421031134897015 0.0001113809610110
1.3000000000000000 1.1223767996667482 0.0001195147388873
1.5000000000000000 1.1032405464495725 0.0001328543083568
1.7500000000000000 1.0857673461122774 0.0001324071560076
2.0000000000000000 1.0743348897448008 0.0001465241545713
2.5000000000000000 1.0608140477225518 0.0000604152389910
3.0000000000000000 1.0530840419280572 0.0014741287038048
3.5000000000000000 1.0513955601962635 0.0000482291607786
4.0000000000000000 1.0499995109507805 0.0000479012502482
