# BH Parameters: L=8,N=8,D=1,l=4,U=0.500000,t=1.000000,bin_size=10000 
#  beta            <S2>               StdErr.
0.6000000000000000 1.6732703035425451 0.0001038050632087
0.7000000000000000 1.6482216321491383 0.0000947789299373
0.8000000000000000 1.6267503092026288 0.0001576232119659
0.9000000000000000 1.6075941238351272 0.0002551271806397
1.0000000000000000 1.5896762671618112 0.0000899656468802
1.1499999999999999 1.5668655091470092 0.0001289755874481
1.3000000000000000 1.5474070346711462 0.0000990024841823
1.5000000000000000 1.5261365918428562 0.0001101751235670
1.7500000000000000 1.5052412577829717 0.0001121449487930
2.0000000000000000 1.4888399541978798 0.0001169487565753
2.5000000000000000 1.4669694817189449 0.0001162204653767
3.0000000000000000 1.4536056511985156 0.0001057624283887
3.5000000000000000 1.4452457951137896 0.0001137790752432
4.0000000000000000 1.4400599647917454 0.0001205588593725
