# BH Parameters: L=8,N=8,D=1,l=4,U=0.500000,t=1.000000,bin_size=10000 
#  beta            <K>                StdErr.
0.6000000000000000 -15.9815177016666681 0.0017529506769451
0.7000000000000000 -15.9771193092854524 0.0015773492991399
0.8000000000000000 -15.9676324849999975 0.0024148541898840
0.9000000000000000 -15.9560521494449130 0.0036807432468728
1.0000000000000000 -15.9534618990000006 0.0013866074009205
1.1499999999999999 -15.9422512800003204 0.0017379625224769
1.3000000000000000 -15.9332673315395397 0.0012153925786808
1.5000000000000000 -15.9269664395457582 0.0012737340560896
1.7500000000000000 -15.9143317537932099 0.0011812351632165
2.0000000000000000 -15.9050787240423368 0.0011009885992558
2.5000000000000000 -15.8918282210843369 0.0011567120469749
3.0000000000000000 -15.8795570405723918 0.0010637055051099
3.5000000000000000 -15.8730682941114569 0.0002392529035074
4.0000000000000000 -15.8703670376006016 0.0010775998703711
