# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
#  beta            <S2acc>            StdErr.
0.6000000000000000 0.0041980758409008 0.0002563943197525
0.7000000000000000 0.0071701062926508 0.0002588535003869
0.8000000000000000 0.0109724637538135 0.0002228245011214
0.9000000000000000 0.0141283718743835 0.0002291685013531
1.0000000000000000 0.0179493402165733 0.0002183571387442
1.1499999999999999 0.0224567792414953 0.0002334176108052
1.3000000000000000 0.0263673676097275 0.0002419792538988
1.5000000000000000 0.0316027539859600 0.0002574067261338
1.7500000000000000 0.0360383343403833 0.0002810026890898
2.0000000000000000 0.0391361759999603 0.0002985762711496
2.5000000000000000 0.0440205325819097 0.0003394921171281
3.0000000000000000 0.0460464572084371 0.0003543414932819
3.5000000000000000 0.0468012325740270 0.0004013782660037
4.0000000000000000 0.0468613160900136 0.0004690717828856
5.0000000000000000 0.0473186728158688 0.0004694943386635
6.0000000000000000 0.0478862166191092 0.0005170929679029
8.0000000000000000 0.0477393079951095 0.0005530949671181
