# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
#  beta            <V>                StdErr.
0.6000000000000000 6.6937810427400359 0.0001614936656960
0.7000000000000000 6.3955503612000193 0.0001527495314707
0.8000000000000000 6.1798339495200336 0.0001399917312592
0.9000000000000000 6.0126491865000444 0.0001317490776241
1.0000000000000000 5.8830395995800506 0.0001424458575713
1.1499999999999999 5.7395779544400556 0.0001374850612776
1.3000000000000000 5.6360250124200579 0.0001342624334849
1.5000000000000000 5.5396105597800593 0.0001451859855005
1.7500000000000000 5.4604116237000593 0.0001518426007082
2.0000000000000000 5.4098293563600572 0.0001504998617270
2.5000000000000000 5.3541133483200563 0.0001697316186814
3.0000000000000000 5.3291876814000556 0.0001791062813821
3.5000000000000000 5.3170976548800546 0.0001817294132159
4.0000000000000000 5.3114363798100532 0.0001475866963526
