# BH Parameters: L=16,N=16,D=1,l=8,t=1.000000,beta=extrapolations,bin_size=10001 
#  U               <S2>               StdErr.
0.5000000000000000 1.6172285195123168 0.0028439809169531
0.7300000000000000 1.5690588560309398 0.0011446091884003
1.0658000000000001 1.5079926506717556 0.0029008543917292
1.5561000000000000 1.4395898056973193 0.0023146691088842
2.2719999999999998 1.3527089429277830 0.0026131490062865
3.2999999999999998 1.2302675404389736 0.0024079124849690
4.8430999999999997 0.8763022080591664 0.0010581822886732
7.0711000000000004 0.3658364164104767 0.0011245918842608
10.3239000000000001 0.1593824941566669 0.0005012449213740
16.6666670000000003 0.0590741721494663 0.0001084858158155
22.0071000000000012 0.0336388994731460 0.0001353951219018
32.1308000000000007 0.0158390505703546 0.0003521533484048
46.9117000000000033 0.0071939879655253 0.0000854613917354
68.4920999999999935 0.0034226529265310 0.0004723004361373
100.0000000000000000 0.0017305645398338 0.0000647127251598
