# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 
# s2n0 s2n1 s2n2 s2n3 s2n4 s2n5 s2n6 s2n7 s2n8 betas 
nan 0.587360297809506 0.06605527020085289 0.06416398975735231 0.0041916249222449286 0.059165100893897336 0.06452924810032416 -inf nan 0.6
nan nan 0.056148561735907696 0.11006126176330013 0.0038878592623965338 0.10519879960737309 0.07315188843473168 nan nan 0.7
nan nan 0.10470460857556005 0.17187608540099364 0.003581939023229179 0.17065093748995014 0.061652346015551 nan nan 0.8
nan nan 0.29228826969737925 0.2398312344605012 0.0030691763350775086 0.2394466964997774 -0.1287012244358776 nan nan 0.9
nan nan 0.14216479862579262 0.31105486882216343 0.0027662300253310456 0.3101846453375722 0.11858525951048025 nan nan 1.0
nan nan 0.07113551939772153 0.40490631348937256 0.002598233783037254 0.4037561014800983 0.1877964252579692 nan nan 1.15
nan nan 0.20704872004840616 0.47616538270851066 0.0022693107536300764 0.4777595136050218 0.2230518110342084 nan nan 1.3
nan nan 0.17416929425718086 0.5354201100343022 0.00210710335594669 0.5401634102564363 -0.2862328999738746 nan nan 1.5
nan nan 0.01675934656744121 0.5750432780234279 0.002163903718766934 0.5805628145960485 0.13801633343499956 nan nan 1.75
nan nan 0.3059103399166608 0.5980007392827207 0.0016919258659342277 0.5944457937869803 0.3077952497798692 nan nan 2.0
nan nan -0.12948231485749231 0.6012416183287848 0.0019681823105685294 0.6026334172810799 0.46308234150950695 nan nan 2.5
nan nan 0.08656464068236135 0.6100667390720735 0.0018945148558107167 0.618165626341163 0.11885102247908931 nan nan 3.0
nan nan -0.2350010859223439 0.6147709209129834 0.0017897228863678785 0.6132432749871103 0.16718195322067056 nan nan 3.5
nan nan 0.022910897532851388 0.620177617498409 0.001995770669705835 0.6161632553900775 0.3764501839472295 nan nan 4.0
nan nan -0.1914726330985277 0.6086947600135989 0.0017173339725500463 0.6147756578595744 0.5032477009850008 nan nan 6.0
nan nan 0.383590835101528 0.6214773288304614 0.002162835744053381 0.6122858403535817 0.19091624699433182 nan nan 8.0
