# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
# Pn0 Pn1 Pn2 Pn3 Pn4 Pn5 Pn6 Pn7 Pn8 betas 
0.00010290144597367537 0.00458719582403399 0.05626351635679321 0.24242643954325355 0.39297991860727893 0.2426099164385569 0.05633171904117222 0.00459512457577773 0.00010326816715998266 0.6
5.716272372605902e-05 0.0033242963669832585 0.04952362928119104 0.2418408943744867 0.41003218435320277 0.2421691406433299 0.04965618542863288 0.0033391088427083032 5.7397985738779135e-05 0.7
3.487561372730933e-05 0.0025213429756502596 0.04431383206818125 0.2407477241447515 0.42457955918554935 0.24088421936889035 0.044353766013434534 0.002529858070008155 3.482255980736571e-05 0.8
2.2869826817867062e-05 0.001987738597684965 0.0401066416810813 0.23918065646739425 0.43729854457145967 0.23925436803369693 0.04013872848511705 0.001987890176173555 2.2562160574216174e-05 0.9
1.5662470736024244e-05 0.0016115248741239783 0.03671473673831886 0.23734433408413821 0.4483622943683551 0.2375472746852091 0.03677505121531057 0.0016134325734702027 1.5688990338228165e-05 1.0
9.9604516694591e-06 0.0012506798372199533 0.032923787947841385 0.23469956207063883 0.4621327774786504 0.23478077014207588 0.032939775626862886 0.0012528723457349586 9.814099306536528e-06 1.15
6.776107135582224e-06 0.0010230269511594208 0.03014955560072764 0.2320453279381338 0.47331793979413744 0.23224788696829204 0.030178189610853442 0.0010246535332507922 6.6434963105170776e-06 1.3
4.8145742422132465e-06 0.0008384382090513087 0.027610019109689996 0.22913522870372338 0.4847653553479485 0.2291843748927363 0.027618265112801414 0.0008387733861561577 4.730663651128141e-06 1.5
3.387190894035431e-06 0.0007049064182775249 0.02555437254699353 0.22614691678662258 0.49518064820175267 0.2261356104407922 0.025567672837257204 0.0007029836284584397 3.501948952267727e-06 1.75
2.785510677504949e-06 0.0006259663145869333 0.024264073582508764 0.2238795540731236 0.5023872105884966 0.22393489728503518 0.024274490124151896 0.0006282061368970685 2.8163845225292823e-06 2.0
2.2924323169915137e-06 0.0005550703016026565 0.022921187712316125 0.22110050184270102 0.5108390692247334 0.22110101281029163 0.022924264870524288 0.0005543054576843827 2.2953478292955853e-06 2.5
2.074985512604911e-06 0.0005252633919951645 0.022343332639013832 0.219692063461501 0.5148606593079069 0.21969949965173083 0.022349360916898715 0.000525713185982015 2.032459458648828e-06 3.0
1.9995989912652256e-06 0.0005116754080200312 0.02208933674350286 0.2190100624068689 0.5167818920019723 0.21900470726441992 0.022087114971029494 0.0005112356735278916 1.9759316671876472e-06 3.5
1.9315252441393472e-06 0.0005060594833380737 0.021968026699079213 0.21867855609113007 0.5177030244540876 0.21866376473687293 0.021970482232884645 0.0005062126539926006 1.942123371339388e-06 4.0
1.9424298778946913e-06 0.0005010585649587817 0.021870327133287272 0.2183959822834383 0.5184777509962839 0.21838042118878082 0.021869563314483278 0.0005010860776560077 1.868011234499379e-06 6.0
1.8993813998363997e-06 0.0005006398048027002 0.021870511834802205 0.2183548345287195 0.518540976811067 0.21836397516355607 0.021863641100311984 0.0005016253954806789 1.8959798596544626e-06 8.0
