# BH Parameters: L=16,N=16,D=1,l=8,t=1.000000,beta=12.000000,bin_size=10001 
#  U               <S2>               StdErr.
0.5000000000000000 1.6175082467506361 0.0059534590164391
0.7300000000000000 1.5704499215485357 0.0055613494033018
1.0658000000000001 1.5194855644743450 0.0062391476611354
1.5561000000000000 1.4338063028919761 0.0055655078472172
2.2719999999999998 1.3544747513094757 0.0054436928510343
3.2999999999999998 1.2360658597747933 0.0050262318393041
4.8430999999999997 0.8762836151084634 0.0021495803480573
7.0711000000000004 0.3653106328942132 0.0021145288487066
10.3239000000000001 0.1571127789289919 0.0005948262703915
16.6666670000000003 0.0586716236783583 0.0002877741650614
22.0071000000000012 0.0335201486073010 0.0002015540968587
32.1308000000000007 0.0159608247902863 0.0005610052295243
46.9117000000000033 0.0073004964796407 0.0001600861211382
68.4920999999999935 0.0034525607296183 0.0003713567787157
100.0000000000000000 0.0017374855626387 0.0001116006262119
