# BH Parameters: L=32,N=1024,D=2,U=16.666667,t=1.000000,beta=extrapolations,bin_size=10001 
#  U               <S2>               StdErr.
1.0000000000000000 0.2004848712448062 0.0007358784816849
2.0000000000000000 0.4677294184760275 0.0014575908978724
3.0000000000000000 0.7430512402769539 0.0021872381393161
4.0000000000000000 1.0205679224465791 0.0029936086002057
5.0000000000000000 1.3013113138840737 0.0037973574245100
6.0000000000000000 1.5816157906273685 0.0035584744018016
7.0000000000000000 1.8565756366929100 0.0030018774147783
8.0000000000000000 2.1293099637873132 0.0050213722064984
9.0000000000000000 2.3935550021356011 0.0094911217769317
10.0000000000000000 2.6434445931661017 0.0386523795397434
11.0000000000000000 2.9633562374172651 0.0087080491820602
12.0000000000000000 3.1986001730419780 0.0225193554677028
13.0000000000000000 3.5108926565392311 0.0031341727930167
14.0000000000000000 3.7627666225274452 0.0046879829590539
15.0000000000000000 4.0378198438481050 0.0075860151888976
16.0000000000000000 4.2919403575312618 0.0162412164003615
17.0000000000000000 4.5388918655687869 0.0192109359818563
18.0000000000000000 4.7666776719836852 0.0137286457060537
19.0000000000000000 5.0101692302426555 0.0122752326926220
20.0000000000000000 5.2298639995107186 0.0124723995177265
