# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 (STD ERRORS)
# s2n0Err s2n1Err s2n2Err s2n3Err s2n4Err s2n5Err s2n6Err s2n7Err s2n8Err betas 
0.2153860993676745 0.008828910937478214 0.000870548328144583 0.0002416137991476918 0.00015692695900785508 0.00025852915515674104 0.001065821939620817 0.011110731978160291 0.5554646175425544 0.6
0.3164179201546302 0.012254760000289874 0.0010553579113509741 0.0002458187345830148 0.00016045744620602878 0.00025761308311089606 0.00109530493814362 0.014219572805988952 0.9409118726331309 0.7
0.630788752433953 0.01568927563718322 0.0011239840772044262 0.00023604773755110073 0.00014483569598155435 0.00025678069418200747 0.001396495530240286 0.021116022708336422 nan 0.8
nan 0.019887673105585257 0.0013010929375567228 0.00024989676979485155 0.00014179605981026354 0.00026592756890334403 0.0014598879690511212 0.028100340977985357 1.7034340586868733 0.9
nan 0.025841509718231438 0.0014679083007841588 0.0002552142622155062 0.00014680897257621892 0.0002741456823274314 0.0015708625915991222 0.03523040832890115 nan 1.0
nan 0.033797290858810294 0.0016611467447242734 0.0002693608819849804 0.0001456677470506648 0.00029270982245814824 0.0018923365660608318 0.044591528317114146 nan 1.15
nan 0.04484655414654075 0.0019375477096609307 0.00030164733006848133 0.00015031070605052874 0.0003212024055804256 0.0022759380436534237 0.05818819673576428 nan 1.3
nan 0.06274299113788083 0.0023019021980434785 0.000313558787744934 0.0001679369745513254 0.0003581984319739597 0.002607847965939245 0.08244571668999799 nan 1.5
nan 0.07230770136483265 0.002762790753503315 0.00032140927086755114 0.00016209925141833943 0.00035581766898489084 0.003153575666122502 0.09363172266998533 nan 1.75
nan 0.08457223223772191 0.003075939268742131 0.0003637769690290251 0.00017750999982101858 0.0003831510670706576 0.003285430781526747 0.12476582134767883 nan 2.0
nan 0.04785493913962182 0.0014125898092042458 0.00016883865701661788 7.869252175089647e-05 0.00017416355480887307 0.0015696491730368546 0.05428590236541493 nan 2.5
nan 0.10863783940901961 0.01808227492250684 0.004988019447816329 0.0010365661333309388 0.0003679756374519534 0.0022281052790905486 0.08517287191826015 nan 3.0
nan 0.03672287677529526 0.0012562802294899256 0.0001352282574398651 5.849208317532055e-05 0.00014505623697977292 0.0014036318426681898 0.059778575766924205 nan 3.5
nan 0.03882767489671003 0.001203496622039549 0.00012614766634011542 5.9087870190906595e-05 0.0001355222143251171 0.0013205394125597122 0.058879429467853114 nan 4.0
nan 0.05809602969315528 0.0016906034361493674 0.00017928425688825133 8.952720374299215e-05 0.00018989962603995283 0.0019454805627188588 0.08138144700922623 nan 6.0
nan 0.06955858839700525 0.0020933252622089963 0.00023257798499553607 0.00010465954509727262 0.00026389490216215675 0.0023852751878240415 0.10581445011345261 nan 8.0
