# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 (STD ERRORS)
# Pn0Err Pn1Err Pn2Err Pn3Err Pn4Err Pn5Err Pn6Err Pn7Err Pn8Err betas 
6.431750124447171e-09 2.1353731881182145e-07 2.702149297982253e-06 1.4583764019560307e-05 1.8815598967094177e-05 1.435359744374354e-05 2.759243067766825e-06 2.1636665124763776e-07 7.067458874733745e-09 0.6
4.2262657958361205e-09 1.5466275771933024e-07 2.4758489046911294e-06 1.3492063123964545e-05 1.7840638929517545e-05 1.425069735264333e-05 2.41568188289796e-06 1.5735193627621562e-07 3.210693399827193e-09 0.7
6.886828162668362e-10 2.043740699409073e-07 3.6017382467011982e-06 2.2928614899421763e-05 3.0466964433912553e-05 2.305901416902429e-05 3.502091572296576e-06 1.9133214891679703e-07 1.5387019528065938e-10 0.8
0.0 2.3750201266252836e-07 4.912952844960844e-06 3.254772985854521e-05 4.274122306657399e-05 3.396275711370387e-05 5.073885327361689e-06 2.6539209276619534e-07 0.0 0.9
0.0 7.373139155994986e-08 1.7626493181554437e-06 1.3045952054363868e-05 1.7517095280961562e-05 1.251418370390496e-05 1.6891657006941627e-06 7.664976881216241e-08 1.4245596554443878e-09 1.0
0.0 9.274319900962942e-08 2.1464830855656927e-06 1.886151865539008e-05 2.519586243404546e-05 1.9286225539778448e-05 2.346969313812156e-06 8.433414118929342e-08 0.0 1.15
7.258606345506326e-10 6.333927648567003e-08 1.650721654884567e-06 1.4221989911241489e-05 1.866849437660311e-05 1.42600202717127e-05 1.7186719418710734e-06 5.4602297752584314e-08 0.0 1.3
0.0 4.8008441717151304e-08 1.6463906024904092e-06 1.5240956517899837e-05 2.07752528710108e-05 1.5425524255986563e-05 1.8044241161722243e-06 6.123737912664848e-08 0.0 1.5
0.0 5.7130693140787446e-08 1.600996633350458e-06 1.693038338695909e-05 2.3899318158426643e-05 1.723275329983082e-05 1.9141543803377852e-06 4.7168171751519005e-08 0.0 1.75
0.0 4.603048530330323e-08 1.937670047189256e-06 1.746980839187115e-05 2.2791624516082046e-05 1.763166823195686e-05 1.8766414136067377e-06 5.911442986421371e-08 0.0 2.0
0.0 4.7857619820726405e-08 2.303870503848062e-06 2.1398041477224488e-05 2.791675254840691e-05 1.979427934113466e-05 2.1688848379565705e-06 7.866325008319785e-08 0.0 2.5
0.0 8.716825564624474e-08 2.6074634745931364e-06 2.2816220219448254e-05 3.0364090105023834e-05 2.192242508369043e-05 2.5846440706252507e-06 4.777618442480683e-08 0.0 3.0
0.0 1.0652290468463679e-07 2.8974733190898415e-06 2.524673540747063e-05 3.2761214034311345e-05 2.298972044199974e-05 2.830880306254953e-06 8.840495002889034e-08 0.0 3.5
0.0 1.1906868212197423e-07 3.2103730795990586e-06 2.67836018159599e-05 3.648349344681518e-05 2.461312314376601e-05 2.9371363118731808e-06 5.3957797654076483e-08 0.0 4.0
0.0 1.4063015351322074e-07 3.6932193959142304e-06 3.293564846488879e-05 4.4780014008679174e-05 3.129981144529747e-05 3.5893477442862337e-06 1.5025608614164044e-07 0.0 6.0
0.0 1.1297217374742682e-07 4.162581742109475e-06 3.394802213566793e-05 5.005726391110671e-05 3.645370449481158e-05 3.899732844971589e-06 1.0666407002772096e-07 0.0 8.0
