# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 
#  beta            <S2>               StdErr.
0.6000000000000000 0.5790678936298239 0.0000905244491699
0.7000000000000000 0.4605531259495072 0.0000848475822740
0.8000000000000000 0.3739754714715557 0.0001512056466729
0.9000000000000000 0.3131743759802239 0.0002304447534932
1.0000000000000000 0.2715727115019477 0.0000924783376508
1.1499999999999999 0.2323369752567455 0.0001183866322441
1.3000000000000000 0.2096231290340173 0.0000956814249871
1.5000000000000000 0.1933314234901316 0.0001015887039965
1.7500000000000000 0.1835712863783255 0.0001073299559344
2.0000000000000000 0.1786151604063115 0.0001099929593559
2.5000000000000000 0.1755061740632879 0.0001234195200109
3.0000000000000000 0.1746558825930611 0.0001391011792179
3.5000000000000000 0.1744794668398743 0.0001596270883275
4.0000000000000000 0.1746594793819646 0.0001542627483776
