# L=16, N=16, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=8)              S₁acc(ℓ=8)                 S₂(ℓ=8)              S₂acc(ℓ=8)                 EN(ℓ=8)              ENacc(ℓ=8)
    0.500000     -2.879605109346E+01      1.841332804169E+00      1.227690661187E-01      1.618707279824E+00      5.074255848190E-02      2.255835692546E+00      3.545096901620E-01
    0.730011     -2.751536380344E+01      1.798989547111E+00      1.470834095106E-01      1.564159771194E+00      6.313233084989E-02      2.238878729738E+00      4.036139844880E-01
    1.065832     -2.577995056609E+01      1.750940539216E+00      1.708889297055E-01      1.504274458981E+00      7.564209780802E-02      2.215585459801E+00      4.510098144490E-01
    1.556137     -2.346978469588E+01      1.694528267050E+00      1.933578518019E-01      1.436103011355E+00      8.767880599303E-02      2.184209397795E+00      4.960068649481E-01
    2.271994     -2.047105432589E+01      1.624576685349E+00      2.143710686497E-01      1.352367674599E+00      9.897699967334E-02      2.142512384720E+00      5.394917194025E-01
    3.300000     -1.679535634682E+01      1.527573195352E+00      2.380477736884E-01      1.226694406837E+00      1.125106424045E-01      2.084991991437E+00      5.852580048967E-01
    4.843125     -1.253986478019E+01      1.281814227720E+00      2.617491993020E-01      8.755301491872E-01      1.468682543502E-01      1.916059165263E+00      5.887896977204E-01
    7.071068     -8.846614635146E+00      7.329600203141E-01      1.433280737223E-01      3.675497708820E-01      1.043686914119E-01      1.397807800932E+00      3.389258245586E-01
   10.323912     -6.137024189016E+00      3.878200665516E-01      5.979812205308E-02      1.594361983055E-01      4.658682674850E-02      9.647068016814E-01      1.542092603184E-01
   16.666667     -3.825802737644E+00      1.734617330119E-01      2.124002376410E-02      5.893324066505E-02      1.723976006781E-02      6.159936457207E-01      5.810558725515E-02
   22.007102     -2.902054112822E+00      1.081376042400E-01      1.190112177675E-02      3.347224313636E-02      9.796202063070E-03      4.750636518211E-01      3.319227950731E-02
   32.130845     -1.989912051814E+00      5.638931838741E-02      5.480757679362E-03      1.559345464284E-02      4.565464522861E-03      3.323540916473E-01      1.553022915360E-02
   46.911728     -1.363642348196E+00      2.915237830192E-02      2.546193593019E-03      7.291342275757E-03      2.135190895366E-03      2.314114451172E-01      7.277187998552E-03
   68.492137     -9.342143274432E-01      1.495352613887E-02      1.188404559388E-03      3.415269569479E-03      1.000221809412E-03      1.604413812259E-01      3.412118376855E-03
  100.000000     -6.399359516545E-01      7.617230489319E-03      5.560364861509E-04      1.601013746765E-03      4.689067321530E-04      1.108589680861E-01      1.600314761296E-03
