# BH Parameters: L=8,N=8,D=1,l=4,U=0.500000,t=1.000000,bin_size=10000 (STD ERRORS)
# s2n0Err s2n1Err s2n2Err s2n3Err s2n4Err s2n5Err s2n6Err s2n7Err s2n8Err betas 
0.0018323619831960719 0.0007525597756054106 0.00030205265719550345 0.00017137058428066794 0.00015396196729093231 0.00020822729905851229 0.0003899430889748689 0.0011505063351109793 0.007193233482247535 0.6
0.0020855165965075317 0.0008627167921488043 0.0003062445868644915 0.00017626910417097965 0.00015482879219787696 0.00020382682533349837 0.0003801791670358609 0.0012818343188226201 0.008933168134146706 0.7
0.0038580066000673393 0.0015762448493609664 0.0005427352603190169 0.00028405797126013096 0.0002631056834036853 0.0003444179042992738 0.0007089428713965155 0.002288829445973606 0.016938987652214157 0.8
0.0063981515514449855 0.0027182566164182555 0.0008605584370868808 0.00046093377852691276 0.0004200019034101497 0.0005597827025559776 0.0010875603822463283 0.00366495555115644 0.03314884383425261 0.9
0.002891372009780847 0.001141863272216435 0.0003259277252197398 0.00017142656275744822 0.00015429811577148678 0.00019697308197542534 0.0004066051589003404 0.001628765297382103 0.01448283816689675 1.0
0.004372492664618568 0.0016590539049081776 0.0004579846384448896 0.00023689039231063753 0.00020780416410884147 0.0002958499733473646 0.0006135917770722954 0.0023672683250496197 0.02311375648775716 1.15
0.00397943489007981 0.001468179943813995 0.00041224038753549634 0.00018971974837021308 0.00016661710482531887 0.00022610471786757664 0.0005071849087545683 0.0020741525025615914 0.022184922061957605 1.3
0.004572700360211387 0.0016432937114144181 0.00046896345217565106 0.00022302528070311387 0.00017481878685998378 0.00023465649426198152 0.0005556260978160888 0.0024847078850134654 0.0324779581012641 1.5
0.005542376710325852 0.002190965471374564 0.0004933976227396946 0.00022276866088605636 0.0001803137613204459 0.0002574446732845102 0.0006651807458985232 0.0029578488245905225 0.03892509789237113 1.75
0.007096516097792682 0.002423744707721514 0.0005439862413924132 0.00022210387800526102 0.00018544598344122509 0.00026005205628627445 0.0006763809578154406 0.0035432612631662542 0.051160016279950336 2.0
0.005796675216831109 0.002483649171645637 0.00047935353639145666 0.00018962126151005223 0.0001467011610447905 0.00021153863240449015 0.0005712950106312244 0.0031911410355049837 0.049813820966157885 2.5
0.007093209331320321 0.0029724487554297595 0.0005634786756223125 0.00021860904804413622 0.0001564110046064263 0.00024041443116034123 0.0006472482689298423 0.0039554112606855416 0.0667738563770446 3.0
0.007352421110698873 0.0033778228904726517 0.0006064392274351182 0.00023131672466288907 0.00017836380740072707 0.0002498361424791191 0.0007152742550967581 0.004705607898688356 0.08126034015419248 3.5
0.00848084205193146 0.003990935985543538 0.0007527018616078096 0.0002739325360348722 0.00019836473048646304 0.0002985507768169471 0.0009021028352178082 0.005615438443371287 0.10936981169262222 4.0
0.00931715041858427 0.004637955981852996 0.0008074676044905318 0.0002899747014057836 0.00021462076557547758 0.00032523905577798814 0.000924537730570351 0.006226575046764167 0.1268507743993855 6.0
0.009984011605257713 0.005844620321330697 0.0010077231426695386 0.00036563916139907543 0.0002782681948652932 0.00040369698536602596 0.0012719341096312205 0.008153084074783752 0.16891374244885288 8.0
