# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
#  beta            <K>                StdErr.
0.6000000000000000 -14.8254466449999516 0.0004657412826365
0.7000000000000000 -14.6563559999995050 0.0004248181663840
0.8000000000000000 -14.5191781499999966 0.0003883980232740
0.9000000000000000 -14.4079916255561464 0.0004086750515306
1.0000000000000000 -14.3161345070000010 0.0003640173072848
1.1499999999999999 -14.2066485382612147 0.0003710365126963
1.3000000000000000 -14.1236223123084272 0.0003269341330040
1.5000000000000000 -14.0420997833333310 0.0003237185901254
1.7500000000000000 -13.9711532982856053 0.0003129355219717
2.0000000000000000 -13.9233862065000000 0.0002863089450584
2.5000000000000000 -13.8683811868000006 0.0002865025194586
3.0000000000000000 -13.8426975486666670 0.0003138039260624
3.5000000000000000 -13.8301127779999877 0.0002850900496577
4.0000000000000000 -13.8240599064374976 0.0002147358883778
