# BH Parameters: L=8,N=8,D=1,l=4,U=0.500000,t=1.000000,bin_size=10000 (STD ERRORS)
# Pn0Err Pn1Err Pn2Err Pn3Err Pn4Err Pn5Err Pn6Err Pn7Err Pn8Err betas 
1.7105318440618104e-06 4.872726225047044e-06 7.4582049163712135e-06 9.247488440138395e-06 9.235429430716022e-06 9.685761698786267e-06 8.050600148532925e-06 4.61164657764398e-06 1.8206141296765558e-06 0.6
1.5629593324621835e-06 4.502077390585936e-06 7.651563945761217e-06 9.613779919873227e-06 9.658352888047828e-06 9.864781699497522e-06 7.532969523050203e-06 4.892893715888799e-06 1.6622921455766854e-06 0.7
2.5359282273015244e-06 7.303334486977724e-06 1.3362861221746233e-05 1.5417033362169376e-05 1.6367899298993842e-05 1.5909177942560436e-05 1.3204168455628095e-05 7.280911717981919e-06 2.723914247225502e-06 0.8
3.759855220259398e-06 1.0960370250899945e-05 2.0189379410566796e-05 2.59594996801138e-05 2.5238353526921853e-05 2.686600539436032e-05 2.0705542355538226e-05 1.2199961105876779e-05 3.74884643975993e-06 0.9
1.2450667655088734e-06 4.058401807144703e-06 7.4081613714625454e-06 9.925519640554013e-06 1.0231111506164939e-05 9.891450661426973e-06 7.902394651209773e-06 4.516788956828319e-06 1.427203766377485e-06 1.0
1.5845142382616457e-06 5.44677011180096e-06 1.038061206996569e-05 1.3767224007166907e-05 1.3383784600351317e-05 1.327215412894624e-05 1.1155236705839471e-05 5.878007211216712e-06 1.7630987375342314e-06 1.15
1.1919388096829458e-06 3.914810680906826e-06 8.289511076403972e-06 1.066587128019145e-05 1.1538405507723402e-05 1.0262044898604475e-05 8.962228920377237e-06 4.423363777327647e-06 1.271237057395672e-06 1.3
1.1383742444384337e-06 4.095316295609644e-06 8.847639484326044e-06 1.2407286359581318e-05 1.1384878262708176e-05 1.223046021362776e-05 9.65570808561521e-06 4.507072821262107e-06 1.1989141859110307e-06 1.5
1.0794656351845382e-06 4.2087427664960136e-06 9.084537773816355e-06 1.3082235901528068e-05 1.3093317875563824e-05 1.373712993847669e-05 9.20180101526137e-06 4.498754218708215e-06 1.1173923595643929e-06 1.75
1.029020104761184e-06 3.922250399440322e-06 9.400478147516374e-06 1.3225511003220701e-05 1.3780816258576686e-05 1.3472626815375321e-05 9.73872007454183e-06 4.323428331850026e-06 1.1228990941626464e-06 2.0
8.781631039686417e-07 6.056380563545169e-06 2.6237522058001148e-05 4.721768166957106e-05 2.454418528538575e-05 3.5984262831280245e-05 4.370871048443501e-05 1.85466395703453e-05 3.2130057459127224e-06 2.5
7.639140520118129e-07 3.546022440698658e-06 8.403124666672167e-06 1.2132221610955122e-05 1.2757936039495715e-05 1.3560805756677914e-05 8.62773555433574e-06 3.51530770666615e-06 8.222361315875848e-07 3.0
7.935945584676557e-07 3.87226678928738e-06 9.147231216753098e-06 1.2854720161834834e-05 1.4423596753564494e-05 1.3777625948686842e-05 9.30885009133959e-06 3.903756223957744e-06 7.840893806960198e-07 3.5
9.653289093524312e-07 3.95588931140666e-06 1.06925643059977e-05 1.5885104432623978e-05 1.6842305452346463e-05 1.6039551776221976e-05 1.0811915702681242e-05 4.566337136261173e-06 9.657423561026208e-07 4.0
9.325576842499174e-07 4.08839136133159e-06 1.0650268315927846e-05 1.5487710010138735e-05 1.7562907625108655e-05 1.681155362136867e-05 1.0931813893171301e-05 4.31320429906502e-06 9.426856027156741e-07 6.0
1.2306064890922322e-06 5.499543007577645e-06 1.244551390595197e-05 2.0729191495053197e-05 2.1936882130730835e-05 2.097400359224931e-05 1.5001844409687134e-05 5.859404331429366e-06 1.2771879673919214e-06 8.0
