# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 (STD ERRORS)
# s2n0Err s2n1Err s2n2Err s2n3Err s2n4Err s2n5Err s2n6Err s2n7Err s2n8Err betas 
nan 1.1732540734849288 0.013311627669408518 0.0005360182456214788 8.854593289284594e-05 0.0005451979689456915 0.01408530376228877 nan nan 0.6
nan nan 0.023042013801626172 0.0007019407948876628 8.174762765761208e-05 0.0007164235241498172 0.023279422165176752 nan nan 0.7
nan nan 0.05026450346958243 0.0014857557187445366 0.00013598148916610963 0.0016263961785136117 0.06442343839497262 nan nan 0.8
nan nan 0.12209860701014202 0.002784533396604321 0.00022010045723635014 0.0029256103255524907 0.11280920024317558 nan nan 0.9
nan nan 0.05784083873188477 0.0013057193444249975 8.753537556225693e-05 0.001363876133517716 0.05957364181759098 nan nan 1.0
nan nan 0.09790270513382325 0.002231526901933157 0.00011201948378085924 0.002283240474167106 0.09267988258691907 nan nan 1.15
nan nan 0.08809623586817633 0.0019400818580432057 8.833436840713235e-05 0.0020817057927867873 0.102502416366269 nan nan 1.3
nan nan 0.1496626893093714 0.0024301303128073737 9.263711893250387e-05 0.0024382966716747297 0.1520099298401543 nan nan 1.5
nan nan 0.1513482028300609 0.002607875142541573 9.993483869025223e-05 0.0026408520295150197 0.14749269443601018 nan nan 1.75
nan nan 0.19971250446944103 0.0029985098782211103 0.00010167936583680687 0.003168372606639511 0.1519074039306686 nan nan 2.0
nan nan 0.15078975226357982 0.0034029528448948996 0.00011335596703162622 0.0034980570696364465 0.16018240581741394 nan nan 2.5
nan nan 0.28232781017319786 0.00428618549197813 0.0001244970122289953 0.004200899955608907 0.1450962915075631 nan nan 3.0
nan nan 0.277747016784661 0.004841345309160944 0.00014114232925276375 0.00473817418169499 0.26522077181222137 nan nan 3.5
nan nan 0.2527406557918137 0.00471645506981683 0.00014456607732569267 0.004841823543289141 0.20777371503647757 nan nan 4.0
nan nan 0.4579216402834735 0.005849135568223974 0.00016223849507382418 0.0061039851571405715 0.4347392099057971 nan nan 6.0
