# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 
# Pn0 Pn1 Pn2 Pn3 Pn4 Pn5 Pn6 Pn7 Pn8 betas 
3.1383547692888564e-08 2.906480790341504e-05 0.004308305351518667 0.13158403479418912 0.7280232957728324 0.13171179021192714 0.0043140175495584646 2.9428408723114615e-05 3.1719800094052194e-08 0.6
1.0094953088082288e-08 1.4123091627487477e-05 0.0027137911988924057 0.10565971074391649 0.7831030304141393 0.10577550332468312 0.0027196737173259076 1.4149338499717127e-05 8.07596240221755e-09 0.7
6.87993780890802e-10 7.496930698685633e-06 0.0018529550219598943 0.08646842131735395 0.8232681564599613 0.08654244071153007 0.0018532053142367652 7.323349866836528e-06 2.0639813502868142e-10 0.8
0.0 4.316400496749679e-06 0.0013655853950221542 0.07289451074648097 0.8514612143994992 0.07292134352134465 0.0013486278877993564 4.401649356303506e-06 0.0 0.9
0.0 2.9109935473974174e-06 0.0010604507959370998 0.06350821568460795 0.8708405768561549 0.06352538302385635 0.0010596360256587439 2.824867224021863e-06 1.753013689432221e-09 1.0
0.0 1.653369783689372e-06 0.0008037159891824207 0.05456842350847604 0.8892439998986159 0.054574297576713116 0.0008062865677811537 1.6230894483838773e-06 0.0 1.15
9.73651933967878e-10 1.1179958422771467e-06 0.0006691940604646407 0.04941723182024714 0.8998223874053932 0.04941712074259509 0.0006719100624860703 1.0369393187660554e-06 0.0 1.3
0.0 6.487347203148468e-07 0.000575783590200936 0.045695031753907975 0.9074740309265944 0.04567643447229102 0.0005772337031241337 8.368191609641726e-07 0.0 1.5
0.0 5.640446560639837e-07 0.0005221104285845761 0.04340224593706333 0.9121264789586766 0.043425789745027234 0.0005222939490944178 5.169368978872336e-07 0.0 1.75
0.0 4.29589281186596e-07 0.0005016311358237917 0.04235765341989326 0.9142510153653107 0.04239109647697535 0.0004977097116831468 4.6430103222696293e-07 0.0 2.0
0.0 3.172380808451338e-07 0.00047726208122281997 0.041591693375314945 0.9158560629896142 0.04159492121626892 0.0004792453855865451 4.977139113814551e-07 0.0 2.5
0.0 5.314752081699998e-07 0.00047873571868438006 0.04136867239709034 0.9162290067185567 0.04145102779378455 0.0004717421465220347 2.8375015479385427e-07 0.0 3.0
0.0 5.536226179347798e-07 0.00047493507402134776 0.04142626148414322 0.9162587119921345 0.04136674545542226 0.0004724747069377661 3.176647233127819e-07 0.0 3.5
0.0 5.575892980786989e-07 0.00047588701627216155 0.041404298078781286 0.9162666431635665 0.04137951306685697 0.0004728725911744643 2.2849404949802732e-07 0.0 4.0
0.0 4.779844056166641e-07 0.000480362063931625 0.04134381063211212 0.9162877634649279 0.04141543361404509 0.0004714604652564793 6.917753210530277e-07 0.0 6.0
