# BH Parameters: L=8,N=8,D=1,l=4,U=10.000000,t=1.000000,bin_size=10000 
#  beta            <V>                StdErr.
0.6000000000000000 7.0028532510000003 0.0002629967081914
0.7000000000000000 5.8809292894062972 0.0002375688807450
0.8000000000000000 5.0787420920000006 0.0003646112787087
0.9000000000000000 4.5139133395000002 0.0002633305816008
1.0000000000000000 4.1197467788550091 0.0002117221843806
1.1499999999999999 3.7382321435540540 0.0002754416650871
1.3000000000000000 3.5112261735000003 0.0002178575963985
1.5000000000000000 3.3413210060000003 0.0002475436241916
1.7500000000000000 3.2352853127720205 0.0002494818832890
2.0000000000000000 3.1853864050000000 0.0002645339146300
2.5000000000000000 3.1494020228021964 0.0003054457065066
3.0000000000000000 3.1404863969999997 0.0003070947392390
3.5000000000000000 3.1386367215000002 0.0003286161900373
4.0000000000000000 3.1381365634999998 0.0003350226922399
