# BH Parameters: L=8,N=8,D=1,l=4,U=0.500000,t=1.000000,bin_size=10000 
#  beta            <S2acc>            StdErr.
0.6000000000000000 0.0004185120206742 0.0002466897568014
0.7000000000000000 -0.0004399007858473 0.0002426135285022
0.8000000000000000 -0.0007476658031302 0.0003959237420831
0.9000000000000000 -0.0000993755243468 0.0006953953838820
1.0000000000000000 -0.0004630149640004 0.0002515962130868
1.1499999999999999 -0.0014051718546993 0.0003532200160737
1.3000000000000000 -0.0010729316377833 0.0002805249008128
1.5000000000000000 0.0002034121770239 0.0002790447629844
1.7500000000000000 0.0010618232185094 0.0003293992142788
2.0000000000000000 0.0024721567284766 0.0003395864949588
2.5000000000000000 0.0046135782347722 0.0003648036758820
3.0000000000000000 0.0070985228645331 0.0004245080272877
3.5000000000000000 0.0092165540539053 0.0003916072612041
4.0000000000000000 0.0101671805717480 0.0004824010882614
5.0000000000000000 0.0113729892117159 0.0005467515989124
6.0000000000000000 0.0113726108785222 0.0005642943726647
8.0000000000000000 0.0121400472317366 0.0006267648138167
