# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 
# s2n0 s2n1 s2n2 s2n3 s2n4 s2n5 s2n6 s2n7 s2n8 betas 
0.28124650975248233 -0.0020298216233514276 0.0065559068372267335 0.005688926123563361 0.004352791906570347 0.003127204340277562 0.003030357124018531 0.0073055515027210536 -0.13768593107849536 0.6
-0.150536792584516 -0.0003716438819030702 0.011594705568833203 0.01004152759620342 0.006791555916285531 0.004642908044593444 0.003647874899165332 -0.01311566423416807 0.35387985539347905 0.7
0.5391606218705373 0.014077380958321754 0.01247626480420243 0.01169374055726215 0.01002698653104141 0.010981839104012002 0.012923577364147924 0.000693312613709679 inf 0.8
inf -0.014581578935263401 0.016733763483531585 0.015607500654767981 0.012899072078791936 0.014617877791643077 0.014455837644343432 0.07147498743700206 2.22526000307003 0.9
nan -0.0006982899862848658 0.02421785723014799 0.019743184697326922 0.015497395484959833 0.01793188634680545 0.019416507892525237 0.0767030013226544 nan 1.0
nan 0.025020587695280448 0.02498573711229145 0.025139019573548096 0.019098353291730336 0.024021816768042145 0.02787477586878217 0.07841041136759422 nan 1.15
nan -0.010571761203416583 0.030661893406169115 0.031166465356906616 0.022061195117541517 0.030007739110608875 0.0306155700977706 -0.026067255784177183 nan 1.3
nan 0.07693323826576323 0.03685407970988875 0.03783911221509338 0.02508051723631563 0.037201781987041695 0.039914481746805605 0.05306403853398503 nan 1.5
nan 0.008684917680922558 0.04116548339273803 0.044850768597746685 0.027524603530687655 0.043900497490640907 0.04309608790103152 0.17399580827359884 nan 1.75
nan 0.0011965731927683011 0.047001869304538285 0.04936535076330928 0.029828371773259563 0.05002376534405244 0.04420488319246352 -0.21553444290624119 nan 2.0
nan 0.001228114747225398 0.05079428835594365 0.056999108178254904 0.03162987333221046 0.05717377251527572 0.050872215672053966 0.025888569414610006 nan 2.5
nan -0.14267999116835403 0.03273143866927788 0.055993336041555694 0.031580239294103724 0.06080364834056744 0.05476954482029552 0.09920550891654212 nan 3.0
nan 0.07711450874537269 0.05176961364547214 0.06274253674443671 0.03280538347986609 0.06295747893142292 0.05319649693708 -0.032066059784101354 nan 3.5
nan -0.01089007776641871 0.05396215113441658 0.06378103043252238 0.033063103747344225 0.06380496893002346 0.053978440016365765 0.033414680937927745 nan 4.0
nan 0.09321553814760684 0.05533350627831723 0.0650556262117523 0.03324662288804144 0.06468701032760234 0.057111466019920266 0.030233496999542534 nan 6.0
nan -0.13681016545052357 0.05488171607515493 0.06420214865846745 0.033407001486648644 0.06491044328769338 0.05223651282689288 0.09974772161107062 nan 8.0
